p1,p2,p3,p4
"['2020-09-19', 195091.27980356294]","['2020-09-26', 199871.9744934617]","['2020-10-03', 204505.22240870754]","['2020-10-10', 210167.38742871128]"
"['2020-09-19', 204708.49614339703]","['2020-09-26', 210416.49858057985]","['2020-10-03', 213349.43400444012]","['2020-10-10', 220004.90801241423]"
"['2020-09-19', 198824.88577919916]","['2020-09-26', 203680.1783715479]","['2020-10-03', 207607.53937445724]","['2020-10-10', 212932.7550301836]"
"['2020-09-19', 197669.18488518705]","['2020-09-26', 202578.99374294927]","['2020-10-03', 206494.68021319824]","['2020-10-10', 212394.2625220304]"
"['2020-09-19', 198372.89682509511]","['2020-09-26', 203133.11473713783]","['2020-10-03', 207405.0518249764]","['2020-10-10', 212848.16512667536]"
"['2020-09-19', 200497.994526272]","['2020-09-26', 205280.61890231835]","['2020-10-03', 209512.92975070135]","['2020-10-10', 215712.55870024854]"
"['2020-09-19', 194804.51527669723]","['2020-09-26', 199099.72067357323]","['2020-10-03', 204209.61348140048]","['2020-10-10', 209725.90698592598]"
"['2020-09-19', 196426.48275850448]","['2020-09-26', 201234.3574303733]","['2020-10-03', 205822.3964420433]","['2020-10-10', 211126.78486587823]"
"['2020-09-19', 193217.5276428459]","['2020-09-26', 197849.11035683]","['2020-10-03', 201707.21822449204]","['2020-10-10', 208868.6008955757]"
"['2020-09-19', 191287.9344828458]","['2020-09-26', 197388.06852080266]","['2020-10-03', 201235.14165981387]","['2020-10-10', 208199.13195554583]"
"['2020-09-19', 194645.75216478208]","['2020-09-26', 198529.700989309]","['2020-10-03', 203632.65020737797]","['2020-10-10', 209449.4383670893]"
"['2020-09-19', 189409.62485113382]","['2020-09-26', 194159.81677680387]","['2020-10-03', 199639.01045888005]","['2020-10-10', 205297.66925814693]"
"['2020-09-19', 197198.93121613024]","['2020-09-26', 202458.11688029143]","['2020-10-03', 206446.76031351442]","['2020-10-10', 212386.24700280692]"
"['2020-09-19', 191017.94606623545]","['2020-09-26', 197091.89321929964]","['2020-10-03', 201103.47280138504]","['2020-10-10', 207867.9901712251]"
"['2020-09-19', 189836.7999733588]","['2020-09-26', 194970.1600388881]","['2020-10-03', 200470.19933017215]","['2020-10-10', 206489.97656214048]"
"['2020-09-19', 200544.53464227205]","['2020-09-26', 205620.2179953867]","['2020-10-03', 209681.8140063012]","['2020-10-10', 216062.35747582998]"
"['2020-09-19', 202866.68961153037]","['2020-09-26', 207169.78551397249]","['2020-10-03', 211542.81883552848]","['2020-10-10', 218503.73654763628]"
"['2020-09-19', 198551.29172586187]","['2020-09-26', 203624.16809955236]","['2020-10-03', 207578.14584478727]","['2020-10-10', 212883.3590994672]"
"['2020-09-19', 202378.24336433396]","['2020-09-26', 206717.51018412982]","['2020-10-03', 211004.6861679247]","['2020-10-10', 218099.95605190497]"
"['2020-09-19', 187030.87173610655]","['2020-09-26', 191480.84995195738]","['2020-10-03', 199340.2966954229]","['2020-10-10', 205001.18078437765]"
"['2020-09-19', 193750.3287898693]","['2020-09-26', 197904.86024427833]","['2020-10-03', 203050.28381689143]","['2020-10-10', 209095.20628924717]"
"['2020-09-19', 195290.40151165516]","['2020-09-26', 200588.1530956473]","['2020-10-03', 205372.01712638524]","['2020-10-10', 210741.11995942605]"
"['2020-09-19', 195430.21191538285]","['2020-09-26', 200629.32139816342]","['2020-10-03', 205392.4316701731]","['2020-10-10', 210755.8362512688]"
"['2020-09-19', 200526.89591244102]","['2020-09-26', 205600.0465843077]","['2020-10-03', 209665.25970484334]","['2020-10-10', 215864.79663399557]"
"['2020-09-19', 194314.1958254894]","['2020-09-26', 198497.361937324]","['2020-10-03', 203373.50217076213]","['2020-10-10', 209384.62313876688]"
"['2020-09-19', 203352.3516340283]","['2020-09-26', 209099.70904915585]","['2020-10-03', 213106.17847114912]","['2020-10-10', 218711.287446094]"
"['2020-09-19', 199380.62130564408]","['2020-09-26', 204048.45801539204]","['2020-10-03', 208239.9784980097]","['2020-10-10', 213678.259243547]"
"['2020-09-19', 202866.21091019554]","['2020-09-26', 206982.83234964765]","['2020-10-03', 211164.6696859099]","['2020-10-10', 218253.8558526839]"
"['2020-09-19', 193798.01768073242]","['2020-09-26', 198116.915020351]","['2020-10-03', 203058.31802896867]","['2020-10-10', 209341.6462987962]"
"['2020-09-19', 199512.32921400707]","['2020-09-26', 204088.5009983862]","['2020-10-03', 208338.71777701654]","['2020-10-10', 213980.090417047]"
"['2020-09-19', 195466.17933673743]","['2020-09-26', 200698.19707574774]","['2020-10-03', 205518.00198229618]","['2020-10-10', 210767.35920612863]"
"['2020-09-19', 195783.53001407464]","['2020-09-26', 200857.66083681156]","['2020-10-03', 205625.4400548167]","['2020-10-10', 210893.91525917983]"
"['2020-09-19', 199209.48905600313]","['2020-09-26', 203835.6143760778]","['2020-10-03', 208182.5507111161]","['2020-10-10', 213501.18395880787]"
"['2020-09-19', 204363.38366757723]","['2020-09-26', 209351.14603313102]","['2020-10-03', 213112.67855685423]","['2020-10-10', 218879.0066515222]"
"['2020-09-19', 198109.91971787633]","['2020-09-26', 202907.50098926848]","['2020-10-03', 207187.3316546434]","['2020-10-10', 212727.82197086012]"
"['2020-09-19', 194918.19597831872]","['2020-09-26', 199445.49099558065]","['2020-10-03', 204446.768285316]","['2020-10-10', 209748.95926334464]"
"['2020-09-19', 197951.93345097805]","['2020-09-26', 202788.46268625231]","['2020-10-03', 207085.13617244898]","['2020-10-10', 212690.79992119203]"
"['2020-09-19', 201860.9481912131]","['2020-09-26', 206563.38719510302]","['2020-10-03', 210659.77505940627]","['2020-10-10', 217390.66377825313]"
"['2020-09-19', 190632.3228297629]","['2020-09-26', 196373.72367706776]","['2020-10-03', 200747.4108593759]","['2020-10-10', 206865.23082319714]"
"['2020-09-19', 200439.73376822722]","['2020-09-26', 205271.92241712078]","['2020-10-03', 209489.2290883018]","['2020-10-10', 215692.3374052238]"
"['2020-09-19', 196996.53739748307]","['2020-09-26', 202400.88030464732]","['2020-10-03', 206372.41948879982]","['2020-10-10', 212293.33953392517]"
"['2020-09-19', 190834.60628219816]","['2020-09-26', 196842.53012176484]","['2020-10-03', 200960.7222423025]","['2020-10-10', 207727.10374099383]"
"['2020-09-19', 198183.44742933166]","['2020-09-26', 203085.50566857026]","['2020-10-03', 207287.29902094274]","['2020-10-10', 212737.81734185526]"
"['2020-09-19', 200890.2956516552]","['2020-09-26', 206191.041736781]","['2020-10-03', 210311.39756080057]","['2020-10-10', 216801.75660754766]"
"['2020-09-19', 196001.2912529205]","['2020-09-26', 200872.43906471558]","['2020-10-03', 205671.6038891798]","['2020-10-10', 210894.88618058732]"
"['2020-09-19', 196455.21850784065]","['2020-09-26', 201402.17109642946]","['2020-10-03', 205867.32054615163]","['2020-10-10', 211136.58745109077]"
"['2020-09-19', 197122.62360566517]","['2020-09-26', 202403.13666806836]","['2020-10-03', 206381.48808338135]","['2020-10-10', 212344.5169600961]"
"['2020-09-19', 194249.20101377062]","['2020-09-26', 198377.03267408354]","['2020-10-03', 203249.77172491906]","['2020-10-10', 209361.65602555632]"
"['2020-09-19', 199182.26112297754]","['2020-09-26', 203789.76819108185]","['2020-10-03', 208158.9890464375]","['2020-10-10', 213313.5663959707]"
"['2020-09-19', 195053.6744892663]","['2020-09-26', 199500.8175967209]","['2020-10-03', 204448.0134277492]","['2020-10-10', 210094.6246403843]"
"['2020-09-19', 197785.60993588073]","['2020-09-26', 202596.05087775853]","['2020-10-03', 206722.41155774714]","['2020-10-10', 212405.2022255744]"
"['2020-09-19', 197868.8866614556]","['2020-09-26', 202738.2299225357]","['2020-10-03', 207080.24389374023]","['2020-10-10', 212513.63357172286]"
"['2020-09-19', 195249.48034640556]","['2020-09-26', 200112.96538636857]","['2020-10-03', 204658.83626558608]","['2020-10-10', 210293.10660515033]"
"['2020-09-19', 201555.57703029484]","['2020-09-26', 206507.487007096]","['2020-10-03', 210400.85606641107]","['2020-10-10', 217287.1782468775]"
"['2020-09-19', 196912.9685884153]","['2020-09-26', 202339.11913694892]","['2020-10-03', 206370.19429766532]","['2020-10-10', 212200.01065681168]"
"['2020-09-19', 198956.50717568083]","['2020-09-26', 203730.08121216312]","['2020-10-03', 208097.83707993873]","['2020-10-10', 213113.26271743566]"
"['2020-09-19', 194651.8684998128]","['2020-09-26', 198673.09488371832]","['2020-10-03', 203700.4693404572]","['2020-10-10', 209512.95591396664]"
